method,dataset,paper,ours,diff,abs_diff
HGNN,Walmart,77.12,51.15057315826416,-25.969426841735846,25.969426841735846
HGNN,Actor,77.83,64.23985061645507,-13.590149383544926,13.590149383544926
HGNN,Gamers,52.38,51.23483428955078,-1.1451657104492199,1.1451657104492199
HGNN,Pokec,57.87,56.58800106048584,-1.2819989395141604,1.2819989395141604
HGNN,Yelp,33.71,26.99133234024048,-6.718667659759522,6.718667659759522
HGNN,NTU2012,90.13,66.21272144317626,-23.91727855682373,23.91727855682373
HGNN,ModelNet40,97.43,88.79993133544922,-8.630068664550791,8.630068664550791
HGNN,Ratings,28.05,27.65871591567993,-0.3912840843200698,0.3912840843200698
HyperGCN,Cora,78.38,76.79468231201172,-1.5853176879882795,1.5853176879882795
HyperGCN,Pubmed,87.42,78.60547714233398,-8.81452285766602,8.81452285766602
HyperGCN,Cora-CA,81.65,79.83013229370117,-1.8198677062988367,1.8198677062988367
HyperGCN,DBLP-CA,89.51,88.7957607269287,-0.7142392730712999,0.7142392730712999
HyperGCN,Walmart,68.75,67.32702941894532,-1.4229705810546847,1.4229705810546847
HyperGCN,Actor,81.82,79.54366493225098,-2.2763350677490166,2.2763350677490166
HyperGCN,Gamers,51.32,51.510827255249026,0.190827255249026,0.190827255249026
HyperGCN,Pokec,57.51,58.038667869567874,0.5286678695678759,0.5286678695678759
HyperGCN,Yelp,29.29,28.262413024902344,-1.0275869750976554,1.0275869750976554
HyperGCN,NTU2012,75.78,63.389659309387206,-12.390340690612796,12.390340690612796
HyperGCN,ModelNet40,91.15,80.64793395996094,-10.502066040039068,10.502066040039068
HyperGCN,Ratings,27.34,27.9340030670166,0.594003067016601,0.594003067016601
HCHA,Cora,77.84,79.09157981872559,1.2515798187255882,1.2515798187255882
HCHA,Pubmed,86.33,65.55172481536866,-20.77827518463134,20.77827518463134
HCHA,Cora-CA,83.01,82.24519844055176,-0.7648015594482445,0.7648015594482445
HCHA,DBLP-CA,91.18,89.91720161437988,-1.2627983856201297,1.2627983856201297
HCHA,Walmart,77.66,53.21787014007568,-24.442129859924314,24.442129859924314
HCHA,Actor,78.3,67.37023162841797,-10.929768371582028,10.929768371582028
HCHA,Gamers,52.35,51.23483428955078,-1.1151657104492188,1.1151657104492188
HCHA,Pokec,58.19,56.592000770568845,-1.597999229431153,1.597999229431153
HCHA,Yelp,33.13,27.091805267333985,-6.0381947326660175,6.0381947326660175
